id,name,Average Rating,Movie 0,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,Movie 9,Movie 10,Movie 11,Movie 12,Movie 13,Movie 14,Movie 15,Movie 16,Movie 17,Movie 18,Movie 19,Movie 20,Movie 21,Movie 22,Movie 23,Movie 24,Movie 25,Movie 26,Movie 27,Movie 28,Movie 29,Movie 30,Movie 31,Movie 32,Movie 33,Movie 34,Movie 35,Movie 36,Movie 37,Movie 38,Movie 39,Movie 40,Movie 41,Movie 42,Movie 43,Movie 44,Movie 45,Movie 46,Movie 47,Movie 48,Movie 49,Movie 50,Movie 51,Movie 52,Movie 53,Movie 54,Movie 55,Movie 56,Movie 57,Movie 58,Movie 59,Movie 60,Movie 61,Movie 62,Movie 63,Movie 64,Movie 65,Movie 66,Movie 67,Movie 68,Movie 69,Movie 70,Movie 71,Movie 72,Movie 73,Movie 74,Movie 75,Movie 76,Movie 77,Movie 78,Movie 79,Movie 80,Movie 81,Movie 82
31,Tom Hanks,6.823076923076922,10193.0,862.0,863.0,920.0,35.0,2280.0,5255.0,13.0,8358.0,64685.0,857.0,20763.0,302688.0,11631.0,9906.0,568.0,59861.0,13600.0,2619.0,296098.0,9800.0,594.0,8346.0,11287.0,9591.0,13508.0,16523.0,591.0,83542.0,6538.0,140823.0,497.0,640.0,4147.0,13448.0,2698.0,109424.0,5516.0,9489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Robin Wright,6.5888888888888895,2310.0,17979.0,13.0,253412.0,10207.0,60308.0,10994.0,5955.0,65754.0,9741.0,8944.0,18923.0,2493.0,30141.0,16995.0,60309.0,157849.0,111190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gary Sinise,6.438461538461539,13.0,568.0,497.0,3595.0,12634.0,2155.0,4965.0,100402.0,7484.0,12106.0,8688.0,8744.0,2067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Mykelti Williamson,6.610000000000001,9440.0,13.0,8489.0,1701.0,186.0,5123.0,10589.0,316727.0,6415.0,19912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Sally Field,6.388888888888889,13.0,102382.0,20309.0,10327.0,72976.0,17182.0,1930.0,788.0,10564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Don Burgess,6.4391304347826095,109410.0,2655.0,87502.0,686.0,5255.0,13.0,8358.0,8656.0,2501.0,45612.0,259693.0,4523.0,557.0,13920.0,9036.0,296.0,8676.0,38321.0,11011.0,13673.0,4474.0,20504.0,10096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Alan Silvestri,6.247916666666666,2655.0,181533.0,1593.0,2310.0,105.0,165.0,285783.0,87502.0,9374.0,686.0,5255.0,13.0,196.0,8358.0,2155.0,12106.0,11011.0,619.0,10137.0,13853.0,241554.0,63020.0,7303.0,11544.0,6073.0,14869.0,6435.0,8592.0,49519.0,11412.0,2756.0,3981.0,9778.0,9268.0,2832.0,12120.0,9713.0,10357.0,1996.0,9607.0,169.0,106.0,9099.0,24428.0,1734.0,10996.0,146216.0,1771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Arthur Schmidt,6.978571428571428,2655.0,13919.0,105.0,165.0,9374.0,686.0,13.0,196.0,8358.0,16769.0,22.0,579.0,9361.0,12123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Sam Mendes,6.933333333333334,14.0,19255.0,4147.0,25.0,4148.0,3877.0,206647.0,37724.0,7979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Orson Welles,6.725,3766.0,34697.0,11176.0,874.0,10364.0,10156.0,33157.0,10339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
