id,name
1,George Lucas
3,Harrison Ford
4,Carrie Fisher
6,Anthony Daniels
7,Andrew Stanton
8,Lee Unkrich
13,Albert Brooks
18,Brad Garrett
19,Allison Janney
20,Elizabeth Perkins
24,Robert Zemeckis
27,Eric Roth
28,Wendy Finerman
29,Steve Tisch
30,Steve Starkey
31,Tom Hanks
32,Robin Wright
33,Gary Sinise
34,Mykelti Williamson
35,Sally Field
36,Don Burgess
37,Alan Silvestri
38,Arthur Schmidt
39,Sam Mendes
48,Sean Bean
49,Maria Bello
52,David Morse
53,Peter Stormare
59,Luc Besson
61,Robert Mark Kamen
62,Bruce Willis
63,Milla Jovovich
64,Gary Oldman
65,Ian Holm
66,Chris Tucker
85,Johnny Depp
98,Sarah Polley
99,Amanda Plummer
102,Deborah Harry
103,Mark Ruffalo
108,Peter Jackson
109,Elijah Wood
110,Viggo Mortensen
112,Cate Blanchett
113,Christopher Lee
116,Keira Knightley
117,Howard Shore
118,Geoffrey Rush
120,Dariusz Wolski
123,Barrie M. Osborne
126,Fran Walsh
130,Kenny Baker
133,Peter Sarsgaard
134,Jamie Foxx
135,Bobby Cohen
136,Sam Mercer
138,Quentin Tarantino
139,Uma Thurman
140,Lucy Liu
142,William Broyles Jr.
147,Michael Madsen
149,Robert Richardson
150,RZA
151,Roger Deakins
153,Thomas Newman
154,Walter Murch
155,Lucas Black
156,Sally Menke
190,Clint Eastwood
192,Morgan Freeman
193,Gene Hackman
194,Richard Harris
195,Lennie Niehaus
198,Dan Castellaneta
202,Charlie Kaufman
204,Kate Winslet
205,Kirsten Dunst
206,Jim Carrey
207,Tom Wilkinson
209,Jane Adams
212,David Cross
224,David Cronenberg
227,William Hurt
228,Ed Harris
230,Stephen McHattie
240,Stanley Kubrick
244,Ray Lovejoy
280,Terry Gilliam
282,Charles Roven
284,Gary Levinsohn
286,Lloyd Phillips
287,Brad Pitt
290,Christopher Plummer
293,Roger Pratt
294,Mick Audsley
298,Chris Bender
307,Peter Suschitzky
310,Ronald Sanders
312,Jon Brion
313,Ellen Kuras
322,Steve Golin
323,Curtis Hanson
326,Kim Basinger
327,Mekhi Phifer
328,Brittany Murphy
330,Jay Rabinowitz
335,Michael Shannon
339,Brian Grazer
343,Taryn Manning
348,William Goldman
349,Scott Glenn
350,Laura Linney
351,Judy Davis
352,Dennis Haysbert
356,Jack Green
366,James Mangold
368,Reese Witherspoon
369,Henry Bumstead
370,Jack G. Taylor Jr.
371,Bill Coe
373,Doug Jackson
375,Bub Asman
376,Arnon Milchan
378,Jonathan Pryce
379,Donald Harris
380,Robert De Niro
381,Katherine Helmond
382,Bob Hoskins
384,Joel Cox
385,Ian Richardson
386,Peter Vaughan
388,Jim Broadbent
391,Norman Garwood
400,Geraldine Chaplin
404,Melora Hardin
409,Cathy Konrad
418,Robert Patrick
423,Phyllis Huffman
427,Sandra Ellis Lafferty
432,Phedon Papamichael
434,Lisa Beach
436,Sarah Katzman
437,David J. Bomba
448,Hilary Swank
452,Margo Martindale
454,Michael Peña
461,Deborah Hopper
469,Stephen Warbeck
471,Maria Djurkovic
473,Brian Tufano
474,Jina Jay
480,Gary Lewis
488,Steven Spielberg
489,Kathleen Kennedy
490,Colin Wilson
491,John Williams
492,Janusz Kamiński
493,Michael Kahn
494,Terri Taylor
495,Debra Zane
496,Rick Carter
497,Doug J. Meerdink
498,Joanna Johnston
500,Tom Cruise
502,Miranda Otto
504,Tim Robbins
508,David Koepp
510,Tim Burton
511,Larry J. Franco
514,Jack Nicholson
515,Glenn Close
516,Annette Bening
517,Pierce Brosnan
518,Danny DeVito
519,Martin Short
