id,name
1,George Lucas
3,Harrison Ford
4,Carrie Fisher
6,Anthony Daniels
13,Albert Brooks
20,Elizabeth Perkins
24,Robert Zemeckis
30,Steve Starkey
31,Tom Hanks
32,Robin Wright
37,Alan Silvestri
38,Arthur Schmidt
40,Orson Welles
59,Luc Besson
61,Robert Mark Kamen
62,Bruce Willis
65,Ian Holm
85,Johnny Depp
102,Deborah Harry
109,Elijah Wood
110,Viggo Mortensen
117,Howard Shore
123,Barrie M. Osborne
130,Kenny Baker
139,Uma Thurman
141,David Carradine
147,Michael Madsen
149,Robert Richardson
154,Walter Murch
190,Clint Eastwood
192,Morgan Freeman
193,Gene Hackman
195,Lennie Niehaus
205,Kirsten Dunst
206,Jim Carrey
224,David Cronenberg
228,Ed Harris
240,Stanley Kubrick
243,Geoffrey Unsworth
244,Ray Lovejoy
280,Terry Gilliam
282,Charles Roven
290,Christopher Plummer
293,Roger Pratt
294,Mick Audsley
307,Peter Suschitzky
310,Ronald Sanders
323,Curtis Hanson
326,Kim Basinger
339,Brian Grazer
348,William Goldman
349,Scott Glenn
351,Judy Davis
352,Dennis Haysbert
356,Jack Green
375,Bub Asman
376,Arnon Milchan
378,Jonathan Pryce
379,Donald Harris
380,Robert De Niro
381,Katherine Helmond
382,Bob Hoskins
384,Joel Cox
385,Ian Richardson
386,Peter Vaughan
388,Jim Broadbent
390,Irene Lamb
391,Norman Garwood
423,Phyllis Huffman
473,Brian Tufano
488,Steven Spielberg
489,Kathleen Kennedy
491,John Williams
493,Michael Kahn
496,Rick Carter
498,Joanna Johnston
500,Tom Cruise
504,Tim Robbins
510,Tim Burton
511,Larry J. Franco
514,Jack Nicholson
515,Glenn Close
518,Danny DeVito
520,Sarah Jessica Parker
521,Michael J. Fox
522,Rod Steiger
526,Lukas Haas
531,Danny Elfman
532,Joe Pantoliano
537,Stephen Tobolowsky
541,Chris Lebenzon
545,Matthew Barry
548,Wynn Thomas
563,Dody Dorn
569,Ethan Hawke
578,Ridley Scott
584,Philip K. Dick
585,Rutger Hauer
586,Sean Young
587,Edward James Olmos
588,M. Emmet Walsh
589,Daryl Hannah
593,Joanna Cassidy
596,Lawrence G. Paull
597,Jane Feinberg
598,Mike Fenton
599,Marci Liroff
601,David L. Snyder
602,Linda DeScenna
605,Michael Kaplan
648,Philip Kaufman
649,Vernon Dobtcheff
650,Karen Allen
652,Paul Freeman
655,John Rhys-Davies
656,Denholm Elliott
658,Alfred Molina
659,Wolf Kahler
663,William Hootkins
664,Frank Marshall
666,Douglas Slocombe
668,Mary Selway
669,Norman Reynolds
670,Ben Burtt
671,Richard L. Anderson
673,Bernd Eichinger
693,Roshan Seth
707,Dan Aykroyd
711,Robert Watts
719,John Morris
723,Patrick Swayze
738,Sean Connery
740,Julian Glover
742,Michael Byrne
743,Kevork Malikyan
751,Valorie Massalas
752,Judy Taylor
769,Martin Brest
770,Jerry Bruckheimer
771,Don Simpson
776,Eddie Murphy
777,Judge Reinhold
778,John Ashton
780,Ronny Cox
781,Paul Reiser
782,Steven Berkoff
783,Jonathan Banks
785,James Russo
792,Bruce Surtees
794,Angelo P. Graham
795,James J. Murakami
796,John M. Dwyer
799,Harold Faltermeyer
800,Arthur Coburn
821,Beverly D'Angelo
825,Stacy Keach
826,Fairuza Balk
852,Gerald B. Greenberg
856,Ben Gazzara
865,Michael Bay
869,Gale Anne Hurd
884,Steve Buscemi
893,Tony Scott
897,Bonnie Timmermann
898,Mark Goldblatt
904,Jeffrey L. Kimball
908,Michael Tronick
909,Billy Weber
912,Larry Ferguson
920,Jürgen Prochnow
922,Allen Garfield
923,Dean Stockwell
