id,name
5342,Mike Nichols
5398,Dino De Laurentiis
5401,Anthony Quinn
5493,Ann Roth
5563,James Coburn
5572,Joel Schumacher
5580,Peter Macgregor-Scott
5589,John Glover
5602,David Lynch
5632,Jack Fisk
5634,Patricia Norris
5657,Anjelica Huston
5671,Milena Canonero
5694,Robert Forster
5695,Sid Haig
5699,Patti LuPone
5823,Julie Andrews
5960,Mary Kay Place
6159,Ron Howard
6168,Austin Pendleton
6197,Brian Dennehy
6346,Anne V. Coates
6352,Jane Fonda
6355,Roy Scheider
6450,Faye Dunaway
6453,Dede Allen
6463,Dub Taylor
6490,Donald E. Thorin
6491,John Bloom
6584,Terence Marsh
6610,Walter Gotell
6637,Frank Finlay
6721,Piper Laurie
6844,Dom DeLuise
6880,Robert Gould
6890,Mark Damon
6901,Edward T. McAvoy
6905,Bruce Dern
6914,Scott Wilson
6952,Charlie Sheen
6993,Charles H. Joffe
6994,Jack Rollins
7068,Sheldon Kahn
7071,Louise Fletcher
7073,Michael Berryman
7180,John Candy
7181,Robert K. Weiss
7182,Elmer Bernstein
7184,George Folsey Jr.
7185,Michael Chinich
7186,John J. Lloyd
7187,Richard Donner
7190,Tom Mankiewicz
7202,Vittorio Storaro
7210,Kathleen Freeman
7231,Neil Travis
7414,Christopher Greenbury
7502,Ernest Borgnine
7505,Roddy McDowall
7537,Steve Boeddeker
7570,Lauren Bacall
7630,Alvin Sargent
7664,Joseph Cotten
7690,C.O. Erickson
7715,Frank J. Urioste
7727,Phil Tippett
7753,Gilbert Taylor
7757,Robert W. Laing
7791,Peter Howitt
7907,John Ratzenberger
7908,Frank Oz
8183,Kathleen Quinlan
8217,Conrad L. Hall
8224,Alec McCowen
8226,Billie Whitelaw
8227,Anna Massey
8246,Barry Levinson
8258,Ben Johnson
8260,Strother Martin
8262,L.Q. Jones
8308,John Graysmark
8328,John Milius
8339,George R. Nelson
8340,Fred C. Blau Jr.
8349,Martin Sheen
8350,Sam Bottoms
8354,Albert Hall
8406,John Calley
8425,Richard Chew
8428,Aggie Guerard Rodgers
8432,Buddy Joe Hooker
8437,Teri Garr
8487,Gregory Peck
8492,Rosemary Murphy
8493,Ruth White
